43, 30
6, 65
26, 89
30, 79
45, 86
50, 35
85, 27
32, 49
17, 54
48, 13
53, 84
12, 48
44, 65
66, 91
56, 7
90, 31
44, 7
85, 83
30, 6
42, 79
13, 54
28, 70
10, 13
23, 22
68, 30
82, 26
44, 65
1, 84
58, 1
14, 25
79, 46
45, 15
38, 93
58, 34
32, 44
6, 13
87, 83
64, 62
56, 99
76, 7
26, 3
83, 29
48, 38
24, 5
56, 80
4, 93
73, 45
48, 46
28, 78
100, 19
77, 0
1, 64
87, 64
98, 97
27, 50
65, 87
36, 45
99, 32
89, 74
89, 17
79, 25
94, 86
7, 94
100, 37
28, 78
65, 5
92, 72
73, 42
94, 18
88, 51
36, 79
64, 81
49, 74
8, 42
24, 90
28, 85
39, 6
12, 69
64, 58
91, 1
31, 36
33, 1
65, 5
78, 32
17, 13
88, 53
0, 92
9, 30
75, 65
63, 6
34, 14
32, 20
27, 28
46, 77
5, 50
58, 50
68, 59
52, 57
56, 88
69, 100
